:1
100NF_CONDENSATEUR_CERAMIQUE_1206_1:1
100NF_CONDENSATEUR_CERAMIQUE_1206_2:1
10K_RESITANCE_0603_2:1
20K_RESISTANCE:1
BORNIER_A_VIS_GROS:1
BORNIER_BLEU:1
CONDENSATEUR_CHIMIQUE:1
G***:1
MICROCONTRÔLEUR:1
PONT_REDRESSEUR:1
QUARTZ:1
RESISTANCE_12K_0603:1
RESISTANCE_1K_0603_1:1
RESISTANCE_1K_0603_2:1
TP5088N:1
TRANSISTOR_NPN:1
Z5.1V:1
